type,alcool,sulphites,pH,densite,chlorure,sucre_residuel,acide_citrique,acidite_volatile,acidite_non_volatile,dioxyde_souffre_total,dioxyde_souffre_libre,qualite
blanc,11.2,0.4,3.22,NA,0.038,5.25,0.22,0.36,6.2,145,44,6
NA,NA,0.5,3.36,0.9971,0.046,13.9,0.33,0.21,6.3,179,68,6
NA,9.3,0.62,3.32,0.9957,0.076,2.1,0.15,0.44,6.6,53,22,5
blanc,9.2,0.52,3.11,0.99373,0.053,NA,0.24,0.18,6.3,119,20,6
blanc,12.9,0.59,3.05,0.98834,0.037,NA,0.27,0.255,6.2,86,30,7
NA,9.5,0.54,3.24,0.9967,0.045,NA,0.44,0.255,6.1,197,53,6
blanc,9.9,0.75,3.48,0.9979,0.042,NA,0.37,0.27,7.3,130,36,6
NA,9.4,0.43,3.17,0.99594,0.056,NA,0.28,0.43,6.9,183,29,5
NA,8.8,0.45,3.02,0.99662,0.079,10.3,0.32,0.24,6.7,122,37,5
NA,11,0.65,3.42,0.9962,0.096,2.5,0.29,0.35,7.1,53,20,6
NA,10.4,0.68,2.97,0.99212,0.039,1.4,0.35,0.14,7.1,128,24,5
rouge,9.8,0.68,3.2,NA,0.098,2.6,0,0.88,7.8,67,25,5
NA,10.4,0.46,3.24,0.99347,0.029,4.4,0.28,0.15,6.9,107,14,8
NA,NA,0.41,3.19,0.9889,0.032,1.2,0.28,0.33,6.8,131,38,6
NA,9.7,0.6,3.24,0.99864,0.094,NA,0.34,0.5,9.8,45,10,7
NA,NA,0.64,3.33,0.99108,0.029,1.4,0.34,0.16,6.5,133,29,7
blanc,12.6,0.73,3.36,0.99204,0.038,5.3,0.3,0.4,6.6,125,20,6
NA,9.5,0.38,3.17,NA,0.045,7.7,0.19,0.24,7.2,176,53,5
NA,11.5,0.42,3.3,0.9906,0.038,NA,0.29,0.24,6.4,122,18,5
NA,10.5,0.5,3.16,0.99256,0.048,NA,0.22,0.25,6.3,161,41,6
NA,8.9,0.52,3.04,1,0.052,18.75,0.46,0.27,7.2,255,45,5
NA,9.1,0.47,3.18,0.9962,0.044,9.7,0.42,0.26,6.4,140,30,6
NA,NA,0.44,3.2,0.99773,0.034,11.4,0.27,0.24,7.2,174,40,5
NA,9.8,0.6,3.11,0.99699,0.053,11.8,0.26,0.27,7.4,173,55,5
rouge,10.5,1.18,3.25,0.99725,0.088,2.2,0.3,0.54,6.9,105,9,6
NA,9.9,0.53,3.47,0.9994,0.122,7.9,0.02,0.735,6.6,124,68,5
NA,9,0.65,3.43,NA,0.081,1.9,0.25,0.52,7.8,38,14,6
blanc,9.1,0.36,3.26,0.9964,0.048,NA,0.26,0.31,7.4,206,47,5
rouge,10.8,1.05,3.21,0.9976,0.077,1.8,0.42,0.24,10.5,22,6,7
NA,10.6,0.79,3.26,0.9971,0.062,NA,0.55,0.35,9.9,14,5,5
NA,12.9,0.82,3.34,0.99418,0.07,NA,0.32,0.52,7.3,70,51,6
NA,12.7,0.49,3.61,0.995,0.071,3.2,0.03,0.865,6.4,58,27,6
NA,10.7,0.46,3.29,0.99215,0.042,NA,0.33,0.27,6.6,183,24,5
blanc,10.2,0.44,3.46,0.9945,0.05,NA,0.49,0.08,7.2,148,18,6
NA,11.2,0.54,3.27,0.99164,0.047,NA,0.18,0.14,6.8,90,30,6
NA,NA,0.4,3.21,0.99397,0.036,7.8,0.34,0.29,7.1,128,49,6
blanc,9.4,0.38,3.28,0.995,0.038,NA,0.25,0.27,6.3,155,52,6
rouge,9.4,0.64,3.26,NA,0.07,1.7,0,0.55,7.8,17,7,6
NA,11.3,0.78,3.4,0.99594,0.073,2.5,0.34,0.26,8.2,47,16,7
NA,10.4,0.58,3.02,0.99544,0.052,11.9,0.29,0.28,6.8,149,51,6
NA,NA,0.56,3.14,0.99769,0.059,12.1,0.25,0.34,6.2,171,33,6
NA,NA,0.47,3.39,0.99076,0.021,3.2,0.37,0.21,6.15,80,20,5
NA,13.4,0.9,3.32,NA,0.052,2.6,0.51,0.4,8.9,27,13,7
NA,11.9,0.52,3.02,0.99004,0.018,3.1,0.3,0.12,7.1,37,15,7
NA,10.1,0.59,3.41,NA,0.076,2.2,0.15,0.55,6.9,40,19,5
blanc,9.7,0.3,3.29,0.9958,0.064,6.7,0.39,0.27,7.3,188,28,5
NA,8.9,0.46,3.03,NA,0.039,9.6,0.72,0.18,7.5,151,53,5
blanc,NA,0.68,3.04,0.99198,0.042,1.2,0.33,0.16,7.4,121,47,7
NA,12.2,0.58,3.19,0.9918,0.035,4.9,0.28,0.39,7.7,109,36,7
NA,NA,0.6,3.36,0.9946,0.051,1.7,0.26,0.61,7,161,25,4
NA,9.4,0.49,3.37,NA,0.052,13,0.3,0.24,6.6,143,18,6
blanc,10.4,0.46,3.2,0.997,0.035,10.6,0.45,0.27,9.1,124,28,9
NA,9.7,0.58,3.52,NA,0.055,8.2,0.49,0.3,7.4,188,49,6
blanc,9.9,0.49,3.22,0.99415,0.045,6.6,0.5,0.22,6.1,122,30,6
NA,NA,0.84,3.06,0.9966,0.049,7.5,0.4,0.23,8.2,76,12,6
NA,13,0.4,3.13,NA,0.03,2.9,0.49,0.48,6.7,122,28,6
NA,10.1,0.39,2.95,0.99249,0.045,0.9,0.3,0.31,8.6,109,16,5
NA,10.3,0.48,3.2,0.99378,0.054,NA,0.27,0.25,6.3,158,40,5
NA,11.2,0.58,3.1,0.99132,0.033,2.3,0.29,0.15,6.9,82,14,7
rouge,NA,0.53,3.24,0.9944,0.102,2.1,0.13,0.58,7.8,36,17,6
blanc,12.4,0.36,3.28,0.98895,0.029,NA,0.38,0.29,5.4,132,31,6
NA,10.9,0.59,3.38,0.9944,0.033,7.9,0.23,0.21,5.9,130,22,6
NA,11.7,0.37,3.09,0.99,0.036,1,0.29,0.18,7.3,101,26,6
blanc,NA,0.62,3.22,0.9938,0.044,1.4,0.43,0.23,7.4,113,22,6
NA,9,0.48,3.01,NA,0.067,13.2,0.36,0.25,7.4,178,53,6
blanc,8.9,0.46,3.22,NA,0.044,16,0.2,0.22,5.7,113,41,6
blanc,NA,0.54,3.02,0.99034,0.042,2,0.25,0.34,5.9,110,12,6
NA,10,0.53,3.2,0.9974,0.044,10.4,0.39,0.24,8.5,142,20,6
NA,14.2,0.4,3.12,0.98779,0.037,NA,0.28,0.35,6.4,113,31,7
NA,9.6,0.5,3.14,0.99514,0.05,7.9,0.26,0.32,6.4,180,53,5
rouge,9.5,0.62,3.38,0.9987,0.08,2.5,0.34,0.43,9,86,26,6
NA,10.8,0.5,3.18,0.99216,0.043,1.5,0.37,0.18,7,104,16,5
NA,NA,0.57,3.4,0.99513,0.054,4.5,0.36,0.3,6.9,203,31,4
NA,9.3,0.46,3.04,0.9952,0.054,2.4,0.4,0.22,9.2,151,18,4
NA,13.2,0.43,2.98,0.98882,0.034,2.1,0.24,0.28,6.9,121,49,7
NA,12.6,0.5,3.42,NA,0.037,3.6,0.26,0.25,5.6,115,18,6
NA,10.6,0.51,3.13,0.9952,0.058,NA,0.24,0.18,6.8,188,64,6
NA,9.6,0.45,3.14,0.9954,0.061,6.5,0.47,0.37,6.6,150,23,6
NA,9.7,0.57,3.35,0.9987,0.084,2.6,0.49,0.45,9,75,21,5
NA,10.5,0.68,2.92,0.998,0.073,1.4,0.59,0.5,12,42,23,7
NA,9.8,0.44,3.11,NA,0.038,9.9,0.34,0.28,6.5,133,30,5
NA,11.3,0.6,3.38,0.99572,0.091,2.5,0.07,0.69,7,21,15,6
NA,11,0.33,3.03,0.9939,0.036,NA,0.36,0.27,7.5,164,45,5
NA,NA,0.52,3.18,0.99636,0.045,9.9,0.32,0.25,6.5,128,41,6
NA,10.5,0.66,3.54,NA,0.093,2.2,0.64,0.41,8.8,42,9,5
NA,NA,0.48,3.45,0.9922,0.055,1.4,0,0.47,6.3,33,27,6
NA,NA,0.84,3.13,0.99174,0.026,5.4,0.37,0.27,7.2,114,27,5
NA,10,0.41,3.18,0.992,0.04,NA,0.12,0.27,6.8,168,87,5
NA,10.2,0.35,3.15,0.9942,0.069,NA,0.24,0.39,6.3,117,9,4
NA,12.5,0.6,3.08,NA,0.035,3.6,0.32,0.39,7.6,93,22,7
NA,10.9,0.56,3.24,0.99699,0.112,2.3,0.31,0.54,9.2,38,11,5
blanc,NA,0.41,3.23,0.99177,0.059,3.7,0.28,0.22,6.5,151,29,7
NA,12.7,0.41,3.32,0.98952,0.042,2.3,0.27,0.31,6,120,19,7
NA,14,0.75,3.7,0.99084,0.048,NA,0.01,0.38,5,60,26,6
NA,10.8,0.46,3.13,0.99558,0.024,8.1,0.33,0.26,8.9,202,47,6
rouge,9.7,0.57,3.53,0.99743,0.078,NA,0.03,0.66,7.2,86,16,5
NA,11,0.51,3.02,0.99109,0.033,NA,0.3,0.18,8.3,57,20,6
NA,11.4,0.68,3.59,NA,0.1,2.2,0,0.58,6.6,63,50,6
blanc,9.8,0.51,3.1,0.9963,0.032,11.6,0.4,0.37,7.2,214,34,6
NA,10.1,0.67,3.31,0.99714,0.096,2.2,0.49,0.29,7.9,59,21,6
NA,11.3,0.47,3.26,0.9916,0.032,4.25,0.28,0.44,6.1,132,43,7
NA,11.7,0.52,3.16,NA,0.036,5.1,0.42,0.18,8.4,77,7,5
NA,12.1,0.77,3.24,NA,0.085,2.65,0.47,0.42,11.1,34,9,7
NA,9.8,0.74,3.26,NA,0.058,1.5,0.38,0.39,8.2,29,10,5
blanc,9.63333333333333,0.47,3.3,NA,0.066,1.1,0.23,0.41,6,148,22,5
NA,NA,0.32,3.04,0.9938,0.036,7,0.36,0.23,7.5,161,43,5
NA,9.4,0.4,3.1,0.99478,0.209,6.5,0.3,0.29,6.4,156,62,5
NA,NA,0.54,3.33,0.998,0.078,2.25,0.31,0.46,8.5,58,32,5
rouge,11.2,0.68,3.31,0.99536,0.058,NA,0.4,0.31,8.2,10,6,7
NA,9.5,0.45,3.2,0.99558,0.093,NA,0,0.63,6.6,77.5,51,5
NA,11.7,0.38,3.37,0.9902,0.028,1.2,0.33,0.37,5.2,81,13,6
rouge,10.55,0.68,3.44,0.99514,0.065,NA,0.17,0.56,7,24,15,7
NA,10.9,0.6,3.21,0.9962,0.119,NA,0.04,0.55,8.8,56,14,6
NA,9.5,0.54,3.51,0.99746,0.077,2.7,0.06,0.62,7.2,85,15,5
NA,12,0.5,3.36,0.9953,0.029,13.9,0.3,0.27,6.7,131,34,7
NA,9.2,0.64,3.07,0.9991,0.168,NA,0.4,0.43,8,190,29,5
NA,NA,0.54,3.34,0.99399,0.036,5.8,0.27,0.31,7.6,109,23,6
NA,10.2,0.79,3.04,0.9974,0.05,NA,0.46,0.28,10.1,13,5,6
NA,9.5,0.56,3.14,0.99683,0.034,11.3,0.29,0.51,7.3,224,61,6
NA,11.2,0.39,3.04,0.9932,0.026,NA,0.26,0.255,7.9,190,40,6
NA,10.5,0.34,3.15,NA,0.036,11.1,0.32,0.33,7.5,119,25,6
NA,9.6,0.51,3.34,0.9976,0.041,7.8,0.4,0.28,8.3,194,38,6
NA,NA,0.4,3.16,0.99394,0.05,7.8,0.25,0.15,6.4,68,13,6
NA,9.2,0.54,3.04,0.9933,0.052,1.2,0.36,0.22,6.8,127,38,5
NA,NA,0.27,3.19,0.99054,0.029,6.1,0.28,0.36,6.6,93,12,7
NA,9.2,0.6,3.22,NA,0.043,8.9,0.34,0.47,6.7,172,31,5
blanc,10.7,0.44,3.48,0.9917,0.049,1.5,0.16,0.33,5,97,10,6
rouge,12.6,0.82,3.23,NA,0.073,6.4,0.45,0.32,10.3,13,5,8
NA,10.6,0.44,3.6,NA,0.046,6.2,0.29,0.15,6.1,151,39,6
NA,11,0.54,3.25,0.99455,0.048,8.9,0.34,0.28,6.7,111,32,7
NA,9.4,0.48,3.07,NA,0.123,6.6,0.24,0.3,6.8,116,35,5
NA,9.2,0.63,3.18,0.9991,0.045,14.3,0.42,0.3,7.7,213,45,5
NA,10.3,0.67,3.23,0.994,0.051,2.3,0.27,0.28,6,147,23,6
NA,9.7,0.62,3.48,NA,0.051,8.4,0.3,0.34,7.2,167,40,5
NA,12.5,0.38,3.51,0.9893,0.027,NA,0.22,0.33,5.1,89,18,7
NA,10.9,0.82,3.39,0.99489,0.061,NA,0.02,0.67,6.7,42,26,6
NA,NA,0.54,3.25,0.99455,0.048,8.9,0.34,0.28,6.7,111,32,7
NA,10,0.53,3.31,NA,0.069,1.7,0,0.7,8.8,19,8,6
NA,10.3,0.76,3.1,0.9997,0.073,2,0.55,0.45,12,49,25,6
NA,9.2,0.61,3.29,0.9972,0.073,2,0.17,0.42,8,18,6,6
NA,9.1,0.78,3.34,NA,0.047,14.55,0.4,0.17,7.1,156,47,6
NA,NA,0.52,3.11,0.99627,0.052,8.3,0.34,0.38,7.4,168,44,5
NA,9.2,0.63,3.05,NA,0.106,2.2,0.22,0.55,7.4,72,12,5
NA,9.2,0.36,3.06,0.9987,0.043,NA,0.61,0.2,7.2,103,14,6
blanc,9.8,0.61,3.08,0.9928,0.048,NA,0.5,0.26,6,153,59,5
NA,11.3,0.63,3.31,0.99159,0.025,NA,0.29,0.3,6.7,107,37,7
NA,NA,0.39,2.96,0.99792,0.051,14.7,0.28,0.15,7,149,29,7
blanc,9.4,0.54,2.92,0.9967,0.048,12.2,0.32,0.18,7.1,125,36,6
rouge,10.2,1.17,3.3,0.99914,0.068,NA,0.3,0.6,7,110,20,5
NA,9.9,0.59,3.12,NA,0.07,2.1,0.24,0.715,9.3,20,5,5
NA,NA,0.51,3.18,0.998,0.082,2,0.52,0.37,9.5,26,6,5
NA,9.6,0.38,3.43,0.9965,0.049,7.5,0.29,0.25,7.3,158,38,5
NA,NA,0.46,3.09,0.9952,0.045,6.8,0.41,0.28,6.4,216,61,5
NA,10,0.5,3.28,NA,0.039,2.9,0.23,0.17,5.5,108,10,5
NA,9.2,0.58,3.32,0.9954,0.074,1.4,0.37,0.31,5.6,96,12,5
blanc,9.5,0.68,3.26,0.995,0.04,NA,0.26,0.19,6.5,140,31,6
NA,NA,0.4,3.12,0.99478,0.035,10.5,0.31,0.21,7.2,122,36,6
NA,NA,0.48,3.11,0.989465,0.035,2.2,0.26,0.26,6,72,10,6
NA,9.6,0.44,3.34,0.99358,0.035,1.4,0.12,0.24,5.9,247,60,6
blanc,NA,0.42,3.08,0.9958,0.045,8.1,0.36,0.25,6.6,180,54,5
NA,10,0.74,3.12,0.998,0.092,NA,0.24,0.46,9.5,44,14,6
NA,10,0.52,3.54,NA,0.087,1.8,0.02,0.68,5.8,94,21,5
blanc,NA,0.52,3.29,0.991,0.033,1.8,0.74,0.3,7.8,156,33,6
NA,NA,0.53,3,0.998,0.033,12.9,0.64,0.23,7.6,170,54,5
blanc,NA,0.6,3.23,0.99121,0.034,1.4,0.39,0.13,6.8,102,19,7
NA,9.5,0.41,3.26,NA,0.048,7.1,0.19,0.185,5.6,110,36,6
NA,11.8,0.41,3.17,NA,0.037,4.9,0.27,0.19,6.5,101,13,6
NA,12.5,0.53,3.04,NA,0.04,5,0.46,0.31,7.2,29,3,4
NA,8.6,0.64,2.93,NA,0.052,15,0.57,0.36,8.3,256,35,5
NA,NA,0.56,3.9,0.9934,0.054,2.1,0.15,0.52,4.6,65,8,4
NA,10,0.58,3.26,NA,0.083,2.5,0.24,0.4,6.9,45,30,5
NA,9.5,0.54,3.32,NA,0.081,2,0.19,0.56,7.8,108,17,5
NA,10.8,0.48,3.22,0.99201,0.03,NA,0.36,0.44,5.9,73,12,6
NA,9.8,0.71,3.31,1.00015,0.102,NA,0.07,0.59,9.9,71,32,5
NA,9.5,0.7,3.1,0.9958,0.062,NA,0.38,0.33,9.1,344,50.5,5
NA,10.1,0.37,3.05,0.9939,0.038,1.7,0.49,0.2,8.3,167,38,6
NA,10.2,0.38,3.11,0.9931,0.044,4.6,0.15,0.38,6.6,78,25,6
NA,10.4,0.59,3.31,0.99587,0.053,NA,0.31,0.2,7.1,211,32,6
blanc,NA,0.35,3.24,0.99153,0.044,3.15,0.29,0.29,7.8,117,41,5
NA,NA,0.4,2.97,0.99482,0.045,5.9,0.55,0.15,6.5,162,75,5
blanc,9,0.4,3.09,0.9957,0.045,7.3,0.49,0.34,6.9,206,61,6
rouge,11.2,0.67,3.41,1.001,0.104,NA,0.25,0.88,9.8,155,35,5
blanc,9.3,0.48,3.22,0.9958,0.044,7.4,0.42,0.23,6.8,189,56,6
blanc,9.5,0.42,3.14,0.9955,0.05,7,0.44,0.33,6.8,155,29,5
NA,10.8,0.38,2.88,0.9914,0.045,1.4,0.4,0.24,7.2,106,31,6
NA,9.4,0.36,3.24,0.9938,0.03,4.5,0.22,0.16,5.5,102,30,6
NA,9.4,0.89,3.2,0.9982,0.08,NA,0.51,0.28,10.5,24,10,6
NA,NA,0.37,3.03,0.99084,0.017,2.7,0.24,0.39,6.7,80,22,5
NA,NA,0.46,3.04,0.9986,0.05,13.1,0.36,0.25,7.3,200,35,7
NA,9.5,0.5,3.26,NA,0.112,2.1,0.1,0.965,7.7,22,11,5
NA,12.1,0.69,3.2,NA,0.052,2.1,0.48,0.34,10.2,9,5,7
blanc,11.5,0.6,3.36,0.99114,0.029,NA,0.33,0.18,6.5,138,35,7
blanc,10.8,0.71,3.22,0.995,0.047,2.1,0.3,0.68,8.2,138,17,4
blanc,9.1,0.54,3.2,0.9958,0.047,7.8,0.46,0.26,6.6,186,48,5
blanc,9.1,0.5,3.17,0.99976,0.083,20.2,0.25,0.24,6.4,157,35,5
NA,9.1,0.46,3.06,0.9936,0.051,1.2,0.27,0.21,7.8,89,20,5
blanc,10.9,0.49,3.37,0.99264,0.036,1.6,0.46,0.14,6.7,92,15,5
NA,10.5,0.52,3.08,NA,0.046,8.6,0.32,0.23,6.8,159,47,6
NA,10.8,0.31,3.33,NA,0.04,11.5,0.27,0.25,5.7,120,24,6
blanc,9.8,0.5,3.1,0.99592,0.05,10.8,0.27,0.25,5.7,116,58,6
NA,NA,0.5,3.58,0.99572,0.079,5.6,0.03,0.88,6.5,47,23,4
NA,13.2,0.54,2.84,0.98951,0.016,5.45,0.26,0.4,7.3,90,26,7
rouge,13,0.85,3.57,NA,0.046,1.2,0.08,0.835,5.4,93,13,7
NA,12,0.51,3.13,NA,0.03,15.1,0.24,0.49,7.4,153,34,7
NA,12.2,0.5,3.52,0.9963,0.079,7.8,0.03,0.8,6.6,12,6,5
NA,NA,0.64,3.39,0.9955,0.068,2.1,0.04,0.5,6.6,14,6,6
blanc,12.6,0.56,3.4,0.98914,0.014,1.7,0.27,0.3,5.8,104,45,7
NA,13.4,0.66,3.06,NA,0.114,4.1,0.68,0.44,10.6,24,6,6
blanc,10.2,0.44,3.15,NA,0.119,9.6,0.24,0.17,7.15,178,56,6
rouge,9.4,0.8,3.21,0.9974,0.08,2,0.42,0.26,8.3,27,11,6
NA,NA,0.5,3.16,0.9976,0.047,11,0.62,0.39,7.2,178,66,5
NA,9,0.48,2.98,0.9979,0.058,NA,0.39,0.23,7.2,192,49,7
NA,11.1,0.68,3.32,0.99566,0.072,2.2,0.02,0.67,7.3,92,31,6
NA,11.3,0.44,3.24,NA,0.036,5.1,0.24,0.4,6.3,131,43,6
NA,10.1,0.57,3.06,0.9985,0.08,NA,0.43,1.025,10.6,84,21,5
NA,11.4,0.37,3.05,0.9945,0.034,NA,0.26,0.21,8.5,142,73,6
blanc,NA,0.49,3.03,0.9948,0.03,11.1,0.26,0.36,8.6,171,43.5,5
NA,10.4,0.79,3.18,NA,0.033,13.1,0.37,0.19,7.6,151,52,6
NA,10.8,0.4,2.99,0.99278,0.042,6.4,0.34,0.17,7.2,111,16,6
NA,10.5,0.98,3.01,0.9942,0.053,5.8,0.49,0.24,6.4,120,25,6
NA,9.8,0.72,3.29,0.9924,0.053,NA,0.32,0.37,6,218.5,31,6
blanc,9.1,0.53,3.11,NA,0.057,18.75,0.44,0.3,6.7,224,65,5
NA,10.1,0.64,3.36,0.99531,0.059,1.8,0.33,0.63,6.5,28,16,6
NA,NA,0.56,3.09,0.997,0.044,9.2,0.35,0.23,8,186,53,7
blanc,NA,0.42,3.32,0.991,0.036,1.5,0.33,0.23,6.3,105,15,6
NA,NA,0.49,2.95,0.9941,0.054,1,0.46,0.23,8.6,72,9,6
blanc,11.3,0.6,3,NA,0.044,3.1,0.29,0.21,7.2,122,39,6
NA,11.9,0.49,3.15,0.99116,0.024,1.6,0.39,0.36,8,93,26,6
NA,NA,0.8,3.32,0.99458,0.054,1.7,0.35,0.2,7.9,15,7,7
NA,9.5,0.51,3.13,1.0001,0.095,2.7,0.54,0.39,11.1,101,21,5
blanc,9.4,0.41,3.4,NA,0.054,9.6,0.32,0.12,7.1,162,64,5
blanc,10.4,0.51,3.15,0.9981,0.051,NA,0.44,0.57,8.4,195,46,5
NA,NA,0.37,3.23,0.98912,0.042,1.4,0.16,0.2,5.8,99,44,6
NA,11.3,0.54,3.06,0.99162,0.043,4.2,0.45,0.13,6.7,131,52,6
NA,11.4,0.42,2.92,0.9907,0.04,1.1,0.41,0.19,7.6,143,38,5
NA,11.8,0.4,3.28,0.9906,0.033,1.8,0.3,0.23,6.3,91,16,6
NA,10.9,0.39,3.14,0.9914,0.028,NA,0.4,0.3,7.8,122,23,7
NA,9,0.57,3.27,0.9963,0.045,6.4,0.49,0.43,6.2,115,12,4
blanc,NA,0.38,3.03,0.9979,0.076,13.3,0.28,0.27,6.8,163,50,6
NA,11.8,0.66,3.09,0.9973,0.107,2.4,0.64,0.51,10.5,15,6,7
rouge,11.8,0.72,3.39,0.99543,0.06,2.3,0.38,0.3,8.8,72,19,6
blanc,NA,0.64,3.49,0.9972,0.055,6.8,0.36,0.3,7.1,234,44.5,6
NA,11.1,0.38,2.99,0.99104,0.032,0.8,0.28,0.18,8.6,78,25,5
NA,NA,0.38,3.05,0.993,0.147,0.9,0.59,0.2,6.8,132,38,6
NA,NA,0.42,3.47,0.9945,0.056,5,0.3,0.13,7,122,31,6
blanc,12.4,0.47,3.3,0.9925,0.04,NA,0.39,0.34,7.3,163,45,6
blanc,9.5,0.41,3.06,0.9924,0.06,NA,0.57,0.29,6.4,120,15,5
blanc,NA,0.34,3.23,0.9951,0.05,7.1,0.49,0.23,6.3,210,67,5
blanc,11,0.56,3.12,0.99283,0.047,NA,0.33,0.19,6.8,130,42,6
rouge,9.1,0.62,3.17,0.9984,0.096,NA,0.13,0.58,8.3,63,14,6
rouge,9.2,0.74,3.41,0.9981,0.088,2,0.26,0.54,7.8,48,23,6
rouge,9.2,0.62,3.22,0.998,0.075,NA,0.37,0.34,9.4,13,5,5
NA,NA,0.51,3.05,0.9937,0.074,1.5,0.14,0.67,7.6,168,25,5
NA,9.2,0.5,3.04,0.9982,0.06,13.3,0.48,0.32,7.3,196,57,5
NA,9.3,0.45,3.32,NA,0.045,5.4,0.3,0.14,5.7,105,26,5
NA,9,0.38,3.15,0.9976,0.046,NA,0.17,0.39,6,246,65,6
NA,12.1,0.37,3,0.996,0.035,15.75,0.33,0.24,8.9,132,16,6
NA,9.5,0.5,3.16,NA,0.051,2.1,0.21,0.35,6.4,171,46,5
NA,11.1,0.47,3.18,0.99166,0.053,1.5,0.39,0.23,7.2,106,26,6
blanc,NA,0.32,2.91,0.9926,0.028,1,0.49,0.13,8.9,24,6,5
NA,9.5,0.63,3.19,NA,0.214,2.4,0.44,0.43,10.3,12,5,6
NA,12.2,0.58,3.38,0.99235,0.031,6.4,0.31,0.32,7,115,38,7
NA,NA,0.38,3.2,0.9951,0.137,5.3,0.31,0.27,6.6,163,35,5
NA,9.2,0.61,3.28,0.9971,0.04,9.8,0.25,0.38,6.9,191,28,5
blanc,NA,0.39,3.22,0.98982,0.053,3.1,0.26,0.44,6,128,57,6
NA,9.3,0.5,3.09,0.99708,0.053,13,0.61,0.31,6.5,123,31,6
NA,10.7,0.56,3.01,NA,0.039,1,0.3,0.275,7.7,75,19,5
NA,9.4,0.69,3.2,0.9986,0.052,NA,0.4,0.24,6.9,198,81,5
NA,11.7,0.33,3.09,0.99352,0.045,NA,0.32,0.36,7,131,37,8
NA,9,0.41,3.43,0.9955,0.04,1.8,0.3,0.13,7.8,179,43,5
NA,10.2,0.38,3.1,0.99166,0.044,1.8,0.29,0.15,6.4,115,21,5
NA,10.4666666666667,0.46,3.47,0.99212,0.036,1.3,0.14,0.335,4.9,168,69,5
NA,10.4,0.67,3.22,0.9979,0.046,16.7,0.22,0.32,6.6,133,38,6
NA,11,0.57,3.15,0.9966,0.059,2.3,0.43,0.73,10,31,15,5
blanc,NA,0.54,3.21,0.992,0.039,1.2,0.4,0.21,7.9,107,38,6
blanc,10.5,0.25,2.96,0.9922,0.042,1,0.41,0.28,9.2,59,14,6
blanc,11.4,0.32,3.24,0.9905,0.042,1.6,0.22,0.16,6,106,36,6
NA,9.7,0.57,3.53,NA,0.078,2.3,0.03,0.66,7.2,86,16,5
NA,9.75,0.46,3.11,0.99391,0.069,6.3,0.47,0.24,5.7,182,35,5
NA,13.5,0.36,3.27,0.99012,0.032,5,0.34,0.22,6.3,93,36,7
blanc,9,0.44,3.01,0.9973,0.049,12.1,0.5,0.28,7.4,122,48,5
NA,9.2,0.47,3.11,NA,0.052,17.3,0.39,0.24,6.5,126,22,6
NA,12.2,0.52,3.57,NA,0.028,1.6,0.32,0.11,5.1,90,12,6
NA,11.1,0.62,3.06,0.9918,0.031,1.3,0.49,0.2,7.5,97,8,5
NA,10.8,0.64,3.42,0.993,0.044,NA,0.28,0.18,6.6,91,18,6
NA,10.3,0.57,3.81,0.9959,0.057,1.8,0.34,0.22,6.4,104,29,6
NA,9.4,0.64,3.31,0.99735,0.076,NA,0.2,0.715,8.4,38,10,5
NA,10.6,0.57,3.29,0.9946,0.04,7.2,0.31,0.28,6.9,168,47,7
NA,11.4,0.48,3.36,0.99044,0.042,1,0.29,0.26,5.8,101,35,7
blanc,9.8,0.61,2.99,NA,0.052,1.5,0.49,0.26,6.3,134,34,6
rouge,11,0.58,3.32,0.9967,0.07,NA,0.01,0.845,8.3,14,5,4
blanc,9.1,0.45,3.08,0.9942,0.048,NA,0.51,0.3,6.4,172,62,6
NA,9.5,0.47,3.1,0.99728000000000006,0.054,12.4,0.3,0.22,6.2,152,108,6
NA,NA,0.56,3.27,0.99126,0.046,4.1,0.27,0.28,6,147,50,6
NA,8.7,0.36,3,0.9978,0.045,10.9,0.68,0.21,7.5,133,38,5
blanc,9.4,0.51,3.2,0.99584,0.046,8.2,0.44,0.26,6.8,183,52,5
NA,NA,0.44,3.17,0.99074,0.029,4.8,0.25,0.28,6.5,128,54,7
NA,NA,0.41,3.28,0.9911,0.032,1.7,0.32,0.3,6.2,130,30,7
NA,9,0.37,3.1,0.9955,0.046,7.8,0.38,0.3,6.4,192,35,5
NA,12,0.46,3.2,0.99193,0.054,4.6,0.34,0.28,6.5,130,22,7
blanc,10.7,0.64,3.26,0.9936,0.04,4.8,0.33,0.24,6.9,131,16,6
NA,9.7,0.49,3.15,0.9946,0.035,4.9,0.36,0.34,6.3,185,31,5
NA,11,0.48,3.27,0.9912,0.026,1.1,0.36,0.19,6.7,143,63,6
blanc,NA,0.56,3.01,0.98986,0.031,1.1,0.3,0.12,6.4,94,37,6
NA,9.5,0.59,3.19,0.9969,0.067,2.4,0.14,0.61,8.8,42,10,5
NA,NA,0.44,3,0.9927,0.142,2.5,0.25,0.29,6.5,111,8,4
NA,9.5,0.6,3.18,0.99336,0.136,NA,0.29,0.38,6.6,93,15,5
NA,8.9,0.75,3.22,0.99976,0.044,13.7,0.34,0.25,7.8,184,66,5
NA,9.4,0.67,3.22,0.9966,0.1,2.7,0.28,0.44,7.8,95,18,5
NA,NA,0.37,3.11,0.99326,0.037,9.9,0.29,0.38,6.8,146,40,6
